,Sentence,Target
1851,We agree that Tonnahill is controlling for the facts as stated in that case.,Analysis
1666,The sole question presented us for review is the propriety of the trial judgeâ€™s action in denying bail or recognizance pending the appeal from the trial courtâ€™s order revoking probation.,Others
813,Complaint is made by appellant to the courtâ€™s charge because it did not instruct the jury on the law of circumstantial evidence.,Invalid
2845,The issue as to whether the stateâ€™s witness Armstrong was an accomplice was properly submitted to the jury.,Analysis
1037,"In the absence of a judgment entered of record in the minutes of the court, the appeal must be dismissed.",Analysis
2237,The record reveals that the appellant was present during the,Invalid
3325,"The information alleged that the appellant did contribute to the delinquency of the minor, a male- child under the age of seventeen years:",Invalid
1899,We have considered the informal bills of exception contained in the statement of facts and find no reversible error therein.,Analysis
188,DECISION,Invalid
3345,The offense is made a misdemeanor punishable by confinement not to exceed two years in jail.,Rule/Law/Holding
3076,Appellant presents three formal bills of exception in a supplemental transcript.,Facts
2051,"â€œSo naturally, the Jury was led to believe that he had been a previous offender.",Facts
1396,The appellant did not testify in his own behalf.,Facts
3343,"The offense is driving while intoxicated; the punishment, three days in jail and a fine of $150.00.",Issue
1631,The record contains no formal or informal bills of exception and no brief had been filed on behalf of appellant.,Facts
1382,The able trial judge fell into error in denying appellant bail.,Others
3470,With such contention we do not agree.,Analysis
2922,The â€œtestâ€ and what happened in Lubbock where he went for a test and where the statement was written was shown by appellantâ€™s testimony and the testimony of other witnesses without objection.,Facts
1473,The evidence is sufficient to support the conviction.,Analysis
3278,Testimony read into the record without objection is tantamount to the introduction of the documents from which the testimony was taken.,Analysis
3203,"In view of our disposition of this case, a recitation of the facts will not be deemed necessary other than to observe that there is no evidence in the record that appellant had ever before been convicted of any offense.",Others
1432,"The conviction is for forgery; the punishment, enhanced by two prior convictions for felonies less than capital, life imprisonment, as provided by Art. 63, V.A.P.C.",Rule/Law/Holding
663,Appellant insists that the court erred in admitting the evidence showing the results of the drunkometer test because his consent to take the test was rendered involuntary by reason of certain promises made to him by the arresting officer.,Issue
3085,"Appellant testified that the boy said he was “old enough” to drink, that he looked like a “big boy,” and, had he known the boy was only fourteen, he would not have “sold” him the beer.",Facts
2799,"The appellant insists that the trial court erred in refusing to charge the jury on the law of justifiable homicide to prevent robbery, self-defense, and defense of another.",Issue
2781,"Seven of the jurors who served in the case testified upon the hearing of the motion, six of them being witnesses for the appellant and one being a witness for the state.",Facts
3416,They were arrested before leaving Big Spring.,Facts
1057,"In view of our disposition of this case, we find it unnecessary to express an opinion upon the argument complained of by stateâ€™s counsel.",Analysis
